Size, Dirt Rate, Agent Type, Performance, Time
2, 0.1, Reflexive, 0, 0.0012814998626708984
2, 0.1, Random, 0, 0.0009968280792236328
2, 0.1, Reflexive, 0, 0.0012056827545166016
2, 0.1, Random, 0, 0.0011591911315917969
2, 0.1, Reflexive, 0, 0.0013582706451416016
2, 0.1, Random, 0, 0.0010237693786621094
2, 0.1, Reflexive, 0, 0.001352071762084961
2, 0.1, Random, 0, 0.0010256767272949219
2, 0.1, Reflexive, 0, 0.0012407302856445312
2, 0.1, Random, 0, 0.0009496212005615234
2, 0.1, Reflexive, 0, 0.0011363029479980469
2, 0.1, Random, 0, 0.0008378028869628906
2, 0.1, Reflexive, 0, 0.0010216236114501953
2, 0.1, Random, 0, 0.0008420944213867188
2, 0.1, Reflexive, 0, 0.0010917186737060547
2, 0.1, Random, 0, 0.0008432865142822266
2, 0.1, Reflexive, 0, 0.00102996826171875
2, 0.1, Random, 0, 0.0009400844573974609
2, 0.1, Reflexive, 0, 0.0012388229370117188
2, 0.1, Random, 0, 0.0009500980377197266
2, 0.2, Reflexive, 0, 0.0011963844299316406
2, 0.2, Random, 0, 0.0008487701416015625
2, 0.2, Reflexive, 0, 0.00118255615234375
2, 0.2, Random, 0, 0.0009672641754150391
2, 0.2, Reflexive, 0, 0.0011675357818603516
2, 0.2, Random, 0, 0.0008554458618164062
2, 0.2, Reflexive, 0, 0.0010676383972167969
2, 0.2, Random, 0, 0.0008254051208496094
2, 0.2, Reflexive, 0, 0.0010051727294921875
2, 0.2, Random, 0, 0.0008280277252197266
2, 0.2, Reflexive, 0, 0.0010068416595458984
2, 0.2, Random, 0, 0.0008327960968017578
2, 0.2, Reflexive, 0, 0.0010170936584472656
2, 0.2, Random, 0, 0.0008349418640136719
2, 0.2, Reflexive, 0, 0.0011210441589355469
2, 0.2, Random, 0, 0.0009453296661376953
2, 0.2, Reflexive, 0, 0.0011665821075439453
2, 0.2, Random, 0, 0.0008387565612792969
2, 0.2, Reflexive, 0, 0.001043558120727539
2, 0.2, Random, 0, 0.0008375644683837891
2, 0.4, Reflexive, 1, 0.001020193099975586
2, 0.4, Random, 1, 0.0008335113525390625
2, 0.4, Reflexive, 1, 0.0010673999786376953
2, 0.4, Random, 1, 0.0009496212005615234
2, 0.4, Reflexive, 1, 0.0010631084442138672
2, 0.4, Random, 1, 0.0008299350738525391
2, 0.4, Reflexive, 1, 0.0010673999786376953
2, 0.4, Random, 1, 0.0008323192596435547
2, 0.4, Reflexive, 1, 0.0010135173797607422
2, 0.4, Random, 1, 0.0008342266082763672
2, 0.4, Reflexive, 1, 0.0010447502136230469
2, 0.4, Random, 1, 0.0010235309600830078
2, 0.4, Reflexive, 1, 0.001416921615600586
2, 0.4, Random, 1, 0.0010242462158203125
2, 0.4, Reflexive, 1, 0.0010914802551269531
2, 0.4, Random, 1, 0.0008707046508789062
2, 0.4, Reflexive, 1, 0.0010228157043457031
2, 0.4, Random, 1, 0.0008788108825683594
2, 0.4, Reflexive, 1, 0.0010995864868164062
2, 0.4, Random, 1, 0.0008275508880615234
2, 0.8, Reflexive, 3, 0.0010895729064941406
2, 0.8, Random, 3, 0.0008337497711181641
2, 0.8, Reflexive, 3, 0.0010268688201904297
2, 0.8, Random, 3, 0.0008330345153808594
2, 0.8, Reflexive, 3, 0.0010142326354980469
2, 0.8, Random, 3, 0.00083160400390625
2, 0.8, Reflexive, 3, 0.001035928726196289
2, 0.8, Random, 3, 0.0008287429809570312
2, 0.8, Reflexive, 3, 0.0011827945709228516
2, 0.8, Random, 3, 0.0012552738189697266
2, 0.8, Reflexive, 3, 0.001344442367553711
2, 0.8, Random, 3, 0.0008618831634521484
2, 0.8, Reflexive, 3, 0.001110076904296875
2, 0.8, Random, 3, 0.0008525848388671875
2, 0.8, Reflexive, 3, 0.001069784164428711
2, 0.8, Random, 3, 0.0008838176727294922
2, 0.8, Reflexive, 3, 0.0011060237884521484
2, 0.8, Random, 3, 0.0008838176727294922
2, 0.8, Reflexive, 3, 0.0010597705841064453
2, 0.8, Random, 3, 0.0008442401885986328
4, 0.1, Reflexive, 1, 0.0010230541229248047
4, 0.1, Random, 1, 0.0008380413055419922
4, 0.1, Reflexive, 1, 0.0010373592376708984
4, 0.1, Random, 1, 0.0008456707000732422
4, 0.1, Reflexive, 1, 0.0011692047119140625
4, 0.1, Random, 1, 0.0009961128234863281
4, 0.1, Reflexive, 1, 0.00115203857421875
4, 0.1, Random, 1, 0.0009329319000244141
4, 0.1, Reflexive, 1, 0.0010304450988769531
4, 0.1, Random, 1, 0.0009779930114746094
4, 0.1, Reflexive, 1, 0.0010557174682617188
4, 0.1, Random, 1, 0.0008404254913330078
4, 0.1, Reflexive, 1, 0.0010197162628173828
4, 0.1, Random, 1, 0.0011856555938720703
4, 0.1, Reflexive, 1, 0.0013365745544433594
4, 0.1, Random, 1, 0.0010941028594970703
4, 0.1, Reflexive, 1, 0.0015418529510498047
4, 0.1, Random, 1, 0.0008902549743652344
4, 0.1, Reflexive, 1, 0.0012409687042236328
4, 0.1, Random, 1, 0.0009534358978271484
4, 0.2, Reflexive, 3, 0.0013985633850097656
4, 0.2, Random, 2, 0.0009443759918212891
4, 0.2, Reflexive, 3, 0.0011563301086425781
4, 0.2, Random, 3, 0.0009698867797851562
4, 0.2, Reflexive, 3, 0.0010712146759033203
4, 0.2, Random, 2, 0.0008382797241210938
4, 0.2, Reflexive, 3, 0.0010247230529785156
4, 0.2, Random, 3, 0.0008380413055419922
4, 0.2, Reflexive, 3, 0.0011086463928222656
4, 0.2, Random, 3, 0.0008392333984375
4, 0.2, Reflexive, 3, 0.001020193099975586
4, 0.2, Random, 3, 0.0008418560028076172
4, 0.2, Reflexive, 3, 0.0011420249938964844
4, 0.2, Random, 3, 0.0010619163513183594
4, 0.2, Reflexive, 3, 0.001220703125
4, 0.2, Random, 3, 0.0010089874267578125
4, 0.2, Reflexive, 3, 0.0011012554168701172
4, 0.2, Random, 3, 0.0008511543273925781
4, 0.2, Reflexive, 3, 0.001104116439819336
4, 0.2, Random, 3, 0.0009775161743164062
4, 0.4, Reflexive, 6, 0.0010395050048828125
4, 0.4, Random, 6, 0.0008487701416015625
4, 0.4, Reflexive, 6, 0.00118255615234375
4, 0.4, Random, 6, 0.0009484291076660156
4, 0.4, Reflexive, 6, 0.0010423660278320312
4, 0.4, Random, 6, 0.0009889602661132812
4, 0.4, Reflexive, 6, 0.001262664794921875
4, 0.4, Random, 6, 0.0009746551513671875
4, 0.4, Reflexive, 6, 0.001079559326171875
4, 0.4, Random, 6, 0.0009579658508300781
4, 0.4, Reflexive, 6, 0.0012044906616210938
4, 0.4, Random, 6, 0.0008432865142822266
4, 0.4, Reflexive, 6, 0.0012829303741455078
4, 0.4, Random, 6, 0.0008301734924316406
4, 0.4, Reflexive, 6, 0.0010151863098144531
4, 0.4, Random, 6, 0.00083160400390625
4, 0.4, Reflexive, 6, 0.0010139942169189453
4, 0.4, Random, 6, 0.0008461475372314453
4, 0.4, Reflexive, 6, 0.0011394023895263672
4, 0.4, Random, 6, 0.0009107589721679688
4, 0.8, Reflexive, 12, 0.0011889934539794922
4, 0.8, Random, 12, 0.0009686946868896484
4, 0.8, Reflexive, 12, 0.0012044906616210938
4, 0.8, Random, 12, 0.0008444786071777344
4, 0.8, Reflexive, 12, 0.0010378360748291016
4, 0.8, Random, 12, 0.0008406639099121094
4, 0.8, Reflexive, 12, 0.0010361671447753906
4, 0.8, Random, 12, 0.0008401870727539062
4, 0.8, Reflexive, 12, 0.0010263919830322266
4, 0.8, Random, 12, 0.0008933544158935547
4, 0.8, Reflexive, 12, 0.0012481212615966797
4, 0.8, Random, 12, 0.0009717941284179688
4, 0.8, Reflexive, 12, 0.0010335445404052734
4, 0.8, Random, 12, 0.0008480548858642578
4, 0.8, Reflexive, 12, 0.0010447502136230469
4, 0.8, Random, 12, 0.0008418560028076172
4, 0.8, Reflexive, 12, 0.0010881423950195312
4, 0.8, Random, 12, 0.0008428096771240234
4, 0.8, Reflexive, 12, 0.0010330677032470703
4, 0.8, Random, 12, 0.0009262561798095703
8, 0.1, Reflexive, 6, 0.0012969970703125
8, 0.1, Random, 5, 0.0009961128234863281
8, 0.1, Reflexive, 6, 0.0011529922485351562
8, 0.1, Random, 4, 0.0008432865142822266
8, 0.1, Reflexive, 6, 0.0010178089141845703
8, 0.1, Random, 5, 0.0008428096771240234
8, 0.1, Reflexive, 6, 0.0010504722595214844
8, 0.1, Random, 6, 0.000989675521850586
8, 0.1, Reflexive, 6, 0.0010216236114501953
8, 0.1, Random, 2, 0.0008351802825927734
8, 0.1, Reflexive, 6, 0.0010693073272705078
8, 0.1, Random, 3, 0.0008404254913330078
8, 0.1, Reflexive, 6, 0.001020193099975586
8, 0.1, Random, 5, 0.0010399818420410156
8, 0.1, Reflexive, 6, 0.0011129379272460938
8, 0.1, Random, 5, 0.0008409023284912109
8, 0.1, Reflexive, 6, 0.0010597705841064453
8, 0.1, Random, 3, 0.0008366107940673828
8, 0.1, Reflexive, 6, 0.0010945796966552734
8, 0.1, Random, 5, 0.0009353160858154297
8, 0.2, Reflexive, 11, 0.0010480880737304688
8, 0.2, Random, 11, 0.0009779930114746094
8, 0.2, Reflexive, 12, 0.0010843276977539062
8, 0.2, Random, 8, 0.0008361339569091797
8, 0.2, Reflexive, 12, 0.001016855239868164
8, 0.2, Random, 10, 0.000835418701171875
