Tamaño, Tasa de Suciedad, Agente, Medida de Desempeño, Tiempo
2, 0.8, Aleatorio, 3, 0.0006563663482666016
2, 0.8, Aleatorio, 3, 0.0006556510925292969
2, 0.8, Aleatorio, 3, 0.0006592273712158203
2, 0.8, Aleatorio, 3, 0.0006659030914306641
2, 0.8, Aleatorio, 3, 0.0006697177886962891
2, 0.8, Aleatorio, 3, 0.0006561279296875
2, 0.8, Aleatorio, 3, 0.0006592273712158203
2, 0.8, Aleatorio, 3, 0.0006885528564453125
2, 0.8, Aleatorio, 3, 0.0007023811340332031
2, 0.8, Aleatorio, 3, 0.0006937980651855469
4, 0.8, Aleatorio, 12, 0.0006670951843261719
4, 0.8, Aleatorio, 12, 0.0006806850433349609
4, 0.8, Aleatorio, 12, 0.0012116432189941406
4, 0.8, Aleatorio, 12, 0.0012378692626953125
4, 0.8, Aleatorio, 12, 0.0008146762847900391
4, 0.8, Aleatorio, 12, 0.0006730556488037109
4, 0.8, Aleatorio, 12, 0.0006759166717529297
4, 0.8, Aleatorio, 12, 0.0006608963012695312
4, 0.8, Aleatorio, 12, 0.0006659030914306641
4, 0.8, Aleatorio, 12, 0.0006749629974365234
8, 0.8, Aleatorio, 40, 0.0006821155548095703
8, 0.8, Aleatorio, 41, 0.0006804466247558594
8, 0.8, Aleatorio, 48, 0.0006811618804931641
8, 0.8, Aleatorio, 39, 0.0006766319274902344
8, 0.8, Aleatorio, 39, 0.0006694793701171875
8, 0.8, Aleatorio, 39, 0.0006797313690185547
8, 0.8, Aleatorio, 44, 0.0006935596466064453
8, 0.8, Aleatorio, 44, 0.0006759166717529297
8, 0.8, Aleatorio, 40, 0.0006842613220214844
8, 0.8, Aleatorio, 38, 0.0006794929504394531
16, 0.8, Aleatorio, 57, 0.0008742809295654297
16, 0.8, Aleatorio, 53, 0.0006690025329589844
16, 0.8, Aleatorio, 55, 0.0006730556488037109
16, 0.8, Aleatorio, 68, 0.0006723403930664062
16, 0.8, Aleatorio, 63, 0.0006685256958007812
16, 0.8, Aleatorio, 73, 0.0006728172302246094
16, 0.8, Aleatorio, 78, 0.0006632804870605469
16, 0.8, Aleatorio, 60, 0.0006723403930664062
16, 0.8, Aleatorio, 63, 0.0006871223449707031
16, 0.8, Aleatorio, 52, 0.0006678104400634766
32, 0.8, Aleatorio, 66, 0.0006861686706542969
32, 0.8, Aleatorio, 69, 0.0006849765777587891
32, 0.8, Aleatorio, 77, 0.0006711483001708984
32, 0.8, Aleatorio, 73, 0.0006811618804931641
32, 0.8, Aleatorio, 68, 0.0006837844848632812
32, 0.8, Aleatorio, 72, 0.0007088184356689453
32, 0.8, Aleatorio, 85, 0.0006799697875976562
32, 0.8, Aleatorio, 91, 0.0006799697875976562
32, 0.8, Aleatorio, 79, 0.0006732940673828125
32, 0.8, Aleatorio, 66, 0.0006811618804931641
64, 0.8, Aleatorio, 81, 0.0006844997406005859
64, 0.8, Aleatorio, 58, 0.0008041858673095703
64, 0.8, Aleatorio, 86, 0.0006990432739257812
64, 0.8, Aleatorio, 82, 0.0007145404815673828
64, 0.8, Aleatorio, 60, 0.0006670951843261719
64, 0.8, Aleatorio, 90, 0.0006816387176513672
64, 0.8, Aleatorio, 65, 0.0006868839263916016
64, 0.8, Aleatorio, 63, 0.0006690025329589844
64, 0.8, Aleatorio, 76, 0.0006749629974365234
64, 0.8, Aleatorio, 94, 0.0008366107940673828
128, 0.8, Aleatorio, 86, 0.0006933212280273438
128, 0.8, Aleatorio, 75, 0.0006763935089111328
128, 0.8, Aleatorio, 80, 0.0006766319274902344
128, 0.8, Aleatorio, 76, 0.0011789798736572266
128, 0.8, Aleatorio, 71, 0.00067138671875
128, 0.8, Aleatorio, 73, 0.0006694793701171875
128, 0.8, Aleatorio, 85, 0.0006651878356933594
128, 0.8, Aleatorio, 78, 0.0012614727020263672
128, 0.8, Aleatorio, 84, 0.0011911392211914062
128, 0.8, Aleatorio, 83, 0.0006723403930664062
