Tamaño, Tasa de Suciedad, Agente, Medida de Desempeño, Tiempo
2, 0.1, Reflexivo, 0, 0.0007658004760742188
2, 0.1, Reflexivo, 0, 0.0008547306060791016
2, 0.1, Reflexivo, 0, 0.0007274150848388672
2, 0.1, Reflexivo, 0, 0.0007348060607910156
2, 0.1, Reflexivo, 0, 0.0007045269012451172
2, 0.1, Reflexivo, 0, 0.0009729862213134766
2, 0.1, Reflexivo, 0, 0.0009729862213134766
2, 0.1, Reflexivo, 0, 0.0007326602935791016
2, 0.1, Reflexivo, 0, 0.0007221698760986328
2, 0.1, Reflexivo, 0, 0.0007193088531494141
2, 0.2, Reflexivo, 0, 0.0006995201110839844
2, 0.2, Reflexivo, 0, 0.000701904296875
2, 0.2, Reflexivo, 0, 0.0006997585296630859
2, 0.2, Reflexivo, 0, 0.0006973743438720703
2, 0.2, Reflexivo, 0, 0.000701904296875
2, 0.2, Reflexivo, 0, 0.0006959438323974609
2, 0.2, Reflexivo, 0, 0.0006988048553466797
2, 0.2, Reflexivo, 0, 0.0007035732269287109
2, 0.2, Reflexivo, 0, 0.0006973743438720703
2, 0.2, Reflexivo, 0, 0.0007078647613525391
2, 0.4, Reflexivo, 1, 0.00072479248046875
2, 0.4, Reflexivo, 1, 0.0007166862487792969
2, 0.4, Reflexivo, 1, 0.0007140636444091797
2, 0.4, Reflexivo, 1, 0.0007190704345703125
2, 0.4, Reflexivo, 1, 0.0007152557373046875
2, 0.4, Reflexivo, 1, 0.0007257461547851562
2, 0.4, Reflexivo, 1, 0.000701904296875
2, 0.4, Reflexivo, 1, 0.0007040500640869141
2, 0.4, Reflexivo, 1, 0.0006990432739257812
2, 0.4, Reflexivo, 1, 0.0007028579711914062
2, 0.8, Reflexivo, 3, 0.0006842613220214844
2, 0.8, Reflexivo, 3, 0.0006861686706542969
2, 0.8, Reflexivo, 3, 0.0006864070892333984
2, 0.8, Reflexivo, 3, 0.0006854534149169922
2, 0.8, Reflexivo, 3, 0.0006814002990722656
2, 0.8, Reflexivo, 3, 0.0006821155548095703
2, 0.8, Reflexivo, 3, 0.0006823539733886719
2, 0.8, Reflexivo, 3, 0.0006861686706542969
2, 0.8, Reflexivo, 3, 0.0006785392761230469
2, 0.8, Reflexivo, 3, 0.0006804466247558594
4, 0.1, Reflexivo, 1, 0.0007061958312988281
4, 0.1, Reflexivo, 1, 0.0007045269012451172
