algorithm_name,env_n,states_n,cost_e1,cost_e2,time,solution_found
BFS,env_1,139,139,415,0.16845989227294922,True
BFS,env_1,34,34,110,0.008042335510253906,True
BFS,env_1,59,59,159,0.04130363464355469,True
BFS,env_1,61,61,155,0.04245924949645996,True
BFS,env_1,92,92,130,0.14511322975158691,True
BFS,env_1,59,59,191,0.048706769943237305,True
BFS,env_1,62,62,157,0.09845471382141113,True
BFS,env_1,19,19,69,0.007954597473144531,True
BFS,env_1,25,25,52,0.011592388153076172,True
BFS,env_1,79,79,145,0.1638774871826172,True
BFS,env_1,80,80,263,0.20407509803771973,True
BFS,env_1,81,81,91,0.10345935821533203,True
BFS,env_1,15,15,54,0.005330085754394531,True
BFS,env_1,8,8,23,0.002056121826171875,True
BFS,env_1,76,76,294,0.13724970817565918,True
BFS,env_1,65,65,155,0.08766627311706543,True
BFS,env_1,81,81,283,0.12306833267211914,True
BFS,env_1,69,69,99,0.1871330738067627,True
BFS,env_1,24,24,42,0.01346278190612793,True
BFS,env_1,56,56,140,0.1392514705657959,True
BFS,env_1,35,35,56,0.04062509536743164,True
BFS,env_1,76,76,130,0.22190594673156738,True
BFS,env_1,72,72,243,0.13922476768493652,True
BFS,env_1,70,70,270,0.11779546737670898,True
BFS,env_1,46,46,170,0.06932687759399414,True
BFS,env_1,94,94,344,0.1564772129058838,True
BFS,env_1,65,65,102,0.022482633590698242,True
BFS,env_1,68,68,242,0.1062765121459961,True
BFS,env_1,69,69,238,0.05784130096435547,True
BFS,env_1,109,109,253,0.154008150100708,True
DFS,env_1,None,None,None,0.8417901992797852,False
DFS,env_1,40,40,128,0.8021175861358643,True
DFS,env_1,471,471,1257,0.7392368316650391,True
DFS,env_1,183,183,479,0.599982500076294,True
DFS,env_1,996,996,2620,1.0595729351043701,True
DFS,env_1,735,735,2029,0.3621211051940918,True
DFS,env_1,752,752,2063,0.7808897495269775,True
DFS,env_1,151,151,443,0.6321051120758057,True
DFS,env_1,None,None,None,0.6682412624359131,False
DFS,env_1,None,None,None,0.6642935276031494,False
DFS,env_1,102,102,327,0.37558603286743164,True
DFS,env_1,None,None,None,0.4696969985961914,False
DFS,env_1,857,857,2418,0.21874141693115234,True
DFS,env_1,236,236,639,0.33049774169921875,True
DFS,env_1,1000,1000,2910,0.15646576881408691,True
DFS,env_1,975,975,2623,0.8227016925811768,True
DFS,env_1,279,279,837,0.43372583389282227,True
DFS,env_1,None,None,None,1.1361737251281738,False
DFS,env_1,586,586,1628,0.7022385597229004,True
DFS,env_1,976,976,2718,0.7303495407104492,True
DFS,env_1,999,999,2724,0.6827821731567383,True
DFS,env_1,None,None,None,0.7543210983276367,False
DFS,env_1,570,570,1619,0.9464983940124512,True
DFS,env_1,224,224,692,0.31574463844299316,True
DFS,env_1,146,146,436,0.6395659446716309,True
DFS,env_1,492,492,1466,0.030241012573242188,True
DFS,env_1,999,999,2782,0.14101028442382812,True
DFS,env_1,784,784,2246,0.07250595092773438,True
DFS,env_1,259,259,768,0.56500244140625,True
DFS,env_1,None,None,None,0.7508265972137451,False
DLS,env_1,None,None,None,0.42327117919921875,False
DLS,env_1,None,None,None,0.8867301940917969,False
DLS,env_1,None,None,None,0.6642825603485107,False
DLS,env_1,None,None,None,0.4416995048522949,False
DLS,env_1,None,None,None,1.7716624736785889,False
DLS,env_1,None,None,None,1.337996244430542,False
DLS,env_1,None,None,None,0.336223840713501,False
DLS,env_1,None,None,None,1.3969573974609375,False
DLS,env_1,None,None,None,1.025148630142212,False
DLS,env_1,None,None,None,1.1521592140197754,False
DLS,env_1,None,None,None,1.1808347702026367,False
DLS,env_1,None,None,None,1.5366525650024414,False
DLS,env_1,None,None,None,1.1617400646209717,False
DLS,env_1,10,10,27,0.021369218826293945,True
DLS,env_1,None,None,None,1.1118462085723877,False
DLS,env_1,None,None,None,0.7113642692565918,False
DLS,env_1,None,None,None,0.9898386001586914,False
DLS,env_1,None,None,None,1.2428412437438965,False
DLS,env_1,None,None,None,0.7500326633453369,False
DLS,env_1,None,None,None,0.6833083629608154,False
DLS,env_1,None,None,None,0.8536598682403564,False
DLS,env_1,None,None,None,1.5561115741729736,False
DLS,env_1,None,None,None,0.8101983070373535,False
DLS,env_1,None,None,None,1.2106173038482666,False
DLS,env_1,None,None,None,0.9120283126831055,False
DLS,env_1,None,None,None,1.444493055343628,False
DLS,env_1,None,None,None,0.3468954563140869,False
DLS,env_1,None,None,None,1.6404056549072266,False
DLS,env_1,None,None,None,1.6380128860473633,False
DLS,env_1,None,None,None,0.5327708721160889,False
