,Algorithm,Problem Size,Time,States,H value
0,HC,4,0.0004932880401611328,36,0
1,HC,4,0.0003948211669921875,36,0
2,HC,4,0.00044417381286621094,36,0
3,HC,4,0.0004153251647949219,36,0
4,HC,4,0.00041413307189941406,36,0
5,HC,4,0.0004284381866455078,36,0
6,HC,4,0.0004589557647705078,36,0
7,HC,4,0.0004153251647949219,36,0
8,HC,4,0.0003833770751953125,36,0
9,HC,4,0.00037980079650878906,36,0
10,HC,4,0.0003802776336669922,36,0
11,HC,4,0.0003795623779296875,36,0
12,HC,4,0.0004303455352783203,36,0
13,HC,4,0.0003840923309326172,36,0
14,HC,4,0.00035500526428222656,36,0
15,HC,4,0.00035262107849121094,36,0
16,HC,4,0.00035190582275390625,36,0
17,HC,4,0.0003533363342285156,36,0
18,HC,4,0.00035190582275390625,36,0
19,HC,4,0.00036454200744628906,36,0
20,HC,4,0.0004303455352783203,36,0
21,HC,4,0.0003859996795654297,36,0
22,HC,4,0.00047135353088378906,36,0
23,HC,4,0.0005080699920654297,36,0
24,HC,4,0.0005621910095214844,36,0
25,HC,4,0.0006542205810546875,36,0
26,HC,4,0.0009169578552246094,36,0
27,HC,4,0.0005433559417724609,36,0
28,HC,4,0.0005435943603515625,36,0
29,HC,4,0.0006124973297119141,36,0
30,HC,8,0.009928703308105469,224,2
31,HC,8,0.00925302505493164,224,4
32,HC,8,0.006779670715332031,224,2
33,HC,8,0.00847935676574707,224,2
34,HC,8,0.006617307662963867,224,2
35,HC,8,0.007771015167236328,224,2
36,HC,8,0.007765769958496094,224,2
37,HC,8,0.008629798889160156,224,2
38,HC,8,0.0083770751953125,280,2
39,HC,8,0.007469892501831055,224,2
40,HC,8,0.007926225662231445,224,2
41,HC,8,0.006676673889160156,224,2
42,HC,8,0.00850820541381836,224,2
43,HC,8,0.006371736526489258,224,2
44,HC,8,0.009395837783813477,224,2
45,HC,8,0.006979227066040039,224,2
46,HC,8,0.010452508926391602,280,2
47,HC,8,0.006851911544799805,224,2
48,HC,8,0.008208274841308594,224,4
49,HC,8,0.0062901973724365234,224,4
50,HC,8,0.008812189102172852,224,2
51,HC,8,0.007822275161743164,280,2
52,HC,8,0.008427619934082031,224,2
53,HC,8,0.006433010101318359,224,4
54,HC,8,0.007161855697631836,224,2
55,HC,8,0.009955406188964844,280,2
56,HC,8,0.01333475112915039,280,2
57,HC,8,0.010875225067138672,224,2
58,HC,8,0.01173710823059082,224,2
59,HC,8,0.00877690315246582,224,2
60,HC,10,0.04566812515258789,630,0
61,HC,10,0.026439428329467773,360,4
62,HC,10,0.031071901321411133,450,2
63,HC,10,0.024185895919799805,360,4
64,HC,10,0.024121761322021484,360,4
65,HC,10,0.031499624252319336,450,2
66,HC,10,0.028107166290283203,450,2
67,HC,10,0.029340028762817383,450,2
68,HC,10,0.025766611099243164,450,2
69,HC,10,0.025319576263427734,540,2
70,HC,10,0.018687009811401367,360,4
71,HC,10,0.022114992141723633,450,2
72,HC,10,0.029218673706054688,630,0
73,HC,10,0.022104501724243164,450,2
74,HC,10,0.026854991912841797,450,2
75,HC,10,0.023042678833007812,450,2
76,HC,10,0.016760587692260742,360,4
77,HC,10,0.0266568660736084,540,2
78,HC,10,0.022291898727416992,450,2
79,HC,10,0.026892423629760742,540,0
